STATE,NAME,LAT,LON,COAL,OIL,GAS,NUCLEAR,HYDRO,BIO,WIND,SOLAR,GEO,OTHER1,OTHER2,OTHER,ENERGY
NC,"Hardison Farm Solar, LLC",35.83079,-77.02194,0,0,0,0,0,0,0,9234,0,0,0,,SOLAR
NC,Harrell's Hill Solar Center LLC,35.211944,-78.100833,0,0,0,0,0,0,0,8920,0,0,0,,SOLAR
NC,Harris,35.6334,-78.9556,0,0,0,7587914,0,0,0,0,0,0,0,,NUCLEAR
NC,Haw River Hydro,35.9483,-79.3244,0,0,0,0,6736,0,0,0,0,0,0,,HYDRO
NC,Hawk Solar,36.121815,-78.150465,,,,,,,,,,,,,SOLAR
NC,Hawkins Solar,36.321944,-79.751667,,,,,,,,,,,,,SOLAR
NC,Haynes Farm,35.525833,-81.235278,0,0,0,0,0,0,0,8020,0,0,0,,SOLAR
NC,"Haywood Farm Solar, LLC",35.343,-79.915,0,0,0,0,0,0,0,9282,0,0,0,,SOLAR
NC,"HCE Johnston I, LLC",35.560002,-78.59453,0,0,0,0,0,0,0,3640,0,0,0,,SOLAR
NC,HCE Moore I,35.13432,-79.419519,0,0,0,0,0,0,0,3,0,0,0,,SOLAR
NC,Hector Farm,35.376236,-79.909719,0,0,0,0,0,0,0,9258,0,0,0,,SOLAR
NC,Heedeh Solar,34.308744,-78.221475,0,0,0,0,0,0,0,2405,0,0,0,,SOLAR
NC,Hemlock Solar,36.469089,-77.597517,0,0,0,0,0,0,0,9967,0,0,0,,SOLAR
NC,Hertford Solar Farm,36.13026,-76.490915,0,0,0,0,0,0,0,8548,0,0,0,,SOLAR
NC,"Hew Fulton Farm, LLC",34.784039,-79.474542,0,0,0,0,0,0,0,9208,0,0,0,,SOLAR
NC,Hickory,34.802222,-78.009167,,,,,,,,,,,,,SOLAR
NC,Higgins Solar,36.07036,-78.053775,,,,,,,,,,,,,SOLAR
NC,"High Point, Fairfield",35.924393,-79.990124,0,-43,0,0,0,0,0,0,0,0,0,,OIL
NC,"High Point, Jackson Lake",35.944444,-79.943055,,,,,,,,,,,,,OIL
NC,"High Point, POLO",35.97,-79.96,0,46,0,0,0,0,0,0,0,0,0,,OIL
NC,"High Point, Pump Station Rd",35.9861,-79.9497,0,52,0,0,0,0,0,0,0,0,0,,OIL
NC,High Rock Hydro,35.6008,-80.2339,0,0,0,0,152635,0,0,0,0,0,0,,HYDRO
NC,High Shoals Hydro (NC),35.394254,-81.201002,0,0,0,0,3860,0,0,0,0,0,0,,HYDRO
NC,High Shoals PV1,35.396478,-81.219144,,,,,,,,,,,,,SOLAR
NC,Highland Solar Center LLC,35.363889,-77.451944,0,0,0,0,0,0,0,9195,0,0,0,,SOLAR
NC,Highwater Solar I,35.433889,-77.99,0,0,0,0,0,0,0,9658,0,0,0,,SOLAR
NC,Hilly Branch,34.583747,-79.148467,,,,,,,,,,,,,SOLAR
NC,Hiwassee Dam,35.150864,-84.177533,0,0,0,0,351812,0,0,0,0,0,0,,HYDRO
NC,Holstein Plant,34.774167,-79.340833,0,0,0,0,0,0,0,34027,0,0,0,,SOLAR
NC,"Hood Farm Solar, LLC",35.205,-77.497,0,0,0,0,0,0,0,9258,0,0,0,,SOLAR
NC,Hopewell Friends,35.62845,-79.8727,0,0,0,0,0,0,0,0,0,0,0,,SOLAR
NC,Howardtown Farm,34.813083,-78.950052,,,,,,,,,,,,,SOLAR
NC,"Howell Midland Farm, LLC",35.225669,-80.543086,0,0,0,0,0,0,0,8874,0,0,0,,SOLAR
NC,Huntersville Delivery No 2,35.383222,-80.832879,0,-45,0,0,0,0,0,0,0,0,0,,OIL
NC,Husky Solar,36.2847,-79.5667,0,0,0,0,0,0,0,8353,0,0,0,,SOLAR
NC,Hutchinson Farm,35.260833,-81.515833,0,0,0,0,0,0,0,6806,0,0,0,,SOLAR
NC,HXNAir Solar One,36.348734,-77.631511,0,0,0,0,0,0,0,299,0,0,0,,SOLAR
NC,Icarus Solar,35.369459,-77.853381,,,,,,,,,,,,,SOLAR
NC,Iga Solar,35.941236,-78.21651,,,,,,,,,,,,,SOLAR
NC,Ingredion Winston Salem,36.033761,-80.227404,1351,0,1887,0,0,26143,0,0,0,0,0,,BIOMASS
NC,Innovative Solar 10,35.473629,-82.890319,0,0,0,0,0,0,0,2523,0,0,0,,SOLAR
NC,"Innovative Solar 14, LLC",35.368889,-82.3575,0,0,0,0,0,0,0,3479,0,0,0,,SOLAR
NC,"Innovative Solar 15, LLC",35.319444,-81.764167,0,0,0,0,0,0,0,3306,0,0,0,,SOLAR
NC,Innovative Solar 16,35.363863,-82.350001,0,0,0,0,0,0,0,2754,0,0,0,,SOLAR
NC,"Innovative Solar 18, LLC",35.378187,-81.795051,0,0,0,0,0,0,0,3814,0,0,0,,SOLAR
NC,Innovative Solar 23,35.259825,-81.419019,0,0,0,0,0,0,0,3741,0,0,0,,SOLAR
NC,"Innovative Solar 26, LLC",35.70974,-81.413308,0,0,0,0,0,0,0,3640,0,0,0,,SOLAR
NC,Innovative Solar 31,34.539425,-78.755394,0,0,0,0,0,0,0,62937,0,0,0,,SOLAR
NC,"Innovative Solar 35, LLC",35.046,-77.825,0,0,0,0,0,0,0,3712,0,0,0,,SOLAR
NC,Innovative Solar 37,34.838297,-79.943889,0,0,0,0,0,0,0,154021,0,0,0,,SOLAR
NC,Innovative Solar 42,34.847627,-78.877359,0,0,0,0,0,0,0,133352,0,0,0,,SOLAR
NC,"Innovative Solar 43, LLC",34.529956,-78.304811,0,0,0,0,0,0,0,69457,0,0,0,,SOLAR
NC,Innovative Solar 44,34.859,-79.108,0,0,0,0,0,0,0,8324,0,0,0,,SOLAR
NC,Innovative Solar 46,34.918194,-78.94355,0,0,0,0,0,0,0,146284,0,0,0,,SOLAR
NC,Innovative Solar 47,34.801933,-79.332447,0,0,0,0,0,0,0,72750,0,0,0,,SOLAR
NC,Innovative Solar 48,34.711628,-79.30235,0,0,0,0,0,0,0,8711,0,0,0,,SOLAR
NC,Innovative Solar 54,35.213697,-77.712408,0,0,0,0,0,0,0,740,0,0,0,,SOLAR
NC,Innovative Solar 55,34.695,-79.216,0,0,0,0,0,0,0,4209,0,0,0,,SOLAR
NC,"Innovative Solar 59, LLC",36.094719,-77.97928,0,0,0,0,0,0,0,3816,0,0,0,,SOLAR
NC,Innovative Solar 6,35.6575,-82.710278,0,0,0,0,0,0,0,5664,0,0,0,,SOLAR
NC,"Innovative Solar 60, LLC",36.091,-77.992,0,0,0,0,0,0,0,3931,0,0,0,,SOLAR
NC,"Innovative Solar 63, LLC",35.39169,-77.620395,0,0,0,0,0,0,0,8523,0,0,0,,SOLAR
NC,Innovative Solar 64,35.041048,-78.329675,0,0,0,0,0,0,0,8685,0,0,0,,SOLAR
NC,Innovative Solar 65,34.7587,-79.5,0,0,0,0,0,0,0,9029,0,0,0,,SOLAR
NC,Innovative Solar 67,34.623309,-78.005377,0,0,0,0,0,0,0,222,0,0,0,,SOLAR
NC,International Paper Co. - New Bern Mill,35.212,-77.1144,0,3,21090,0,0,180627,0,0,0,0,0,,BIOMASS
NC,International Paper Riegelwood Mill,34.3533,-78.2137,0,0,35348,0,0,369459,0,0,0,0,0,,BIOMASS
NC,Iredell County LFG Facility,35.769281,-80.826001,0,0,0,0,0,23733,0,0,0,0,0,,BIOMASS
NC,Island Grove Solar,34.751178,-79.211568,,,,,,,,,,,,,SOLAR
NC,Ivy River Hydro,35.771627,-82.61827,,,,,,,,,,,,,HYDRO
NC,Izia Solar,36.274285,-78.36251,,,,,,,,,,,,,SOLAR
NC,Jackson Solar Farm,35.75,-77.83,0,0,0,0,0,0,0,16829,0,0,0,,SOLAR
NC,Jacob Solar,36.2922,-79.6214,0,0,0,0,0,0,0,8837,0,0,0,,SOLAR
NC,Jakana Solar,35.875278,-77.081111,0,0,0,0,0,0,0,8952,0,0,0,,SOLAR
NC,"Jamesville Road Solar, LLC",35.845354,-76.801491,,,,,,,,,,,,,SOLAR
NC,Jersey Holdings,34.564307,-79.037483,0,0,0,0,0,0,0,9512,0,0,0,,SOLAR
NC,Jester Solar,35.36118,-77.8861,,,,,,,,,,,,,SOLAR
NC,Jordan Hydroelectric Project,35.654722,-79.068333,0,0,0,0,10303,0,0,0,0,0,0,,HYDRO
NC,Jordan Solar,36.278571,-78.317143,,,,,,,,,,,,,SOLAR
NC,June Solar,34.30469,-78.283799,,,,,,,,,,,,,SOLAR
NC,KapStone Kraft Paper Corp,36.4769,-77.6414,34310,2292,9027,0,0,155595,0,0,0,0,0,,BIOMASS
NC,Katherine Solar,36.215,-79.516111,,,,,,,,,,,,,SOLAR
NC,Kathleen Solar,35.513769,-78.802384,0,0,0,0,0,0,0,814,0,0,0,,SOLAR
NC,Keen Farm,35.426667,-78.4,0,0,0,0,0,0,0,9025,0,0,0,,SOLAR
NC,Kelford,36.148056,-77.211944,0,0,0,0,0,0,0,42958,0,0,0,,SOLAR
NC,Kelford,36.154227,-77.218502,0,0,0,0,0,0,0,7634,0,0,0,,SOLAR
